name,rotation_period,orbital_period,diameter,climate,gravity,terrain,surface_water,population,residents,films,created,edited,url
Bestine IV,26,680,6400,temperate,unknown,"rocky islands, oceans",98,62000000,['https://swapi.py4e.com/api/people/19/'],[],2014-12-12T11:16:55.078000Z,2014-12-20T20:58:18.463000Z,https://swapi.py4e.com/api/planets/26/
Ord Mantell,26,334,14050,temperate,1 standard,"plains, seas, mesas",10,4000000000,[],['https://swapi.py4e.com/api/films/2/'],2014-12-15T12:23:41.661000Z,2014-12-20T20:58:18.464000Z,https://swapi.py4e.com/api/planets/27/
unknown,0,0,0,unknown,unknown,unknown,unknown,unknown,"['https://swapi.py4e.com/api/people/20/', 'https://swapi.py4e.com/api/people/23/', 'https://swapi.py4e.com/api/people/29/', 'https://swapi.py4e.com/api/people/32/', 'https://swapi.py4e.com/api/people/75/', 'https://swapi.py4e.com/api/people/84/', 'https://swapi.py4e.com/api/people/85/', 'https://swapi.py4e.com/api/people/86/', 'https://swapi.py4e.com/api/people/87/', 'https://swapi.py4e.com/api/people/88/']",[],2014-12-15T12:25:59.569000Z,2014-12-20T20:58:18.466000Z,https://swapi.py4e.com/api/planets/28/
Trandosha,25,371,0,arid,0.62 standard,"mountains, seas, grasslands, deserts",unknown,42000000,['https://swapi.py4e.com/api/people/24/'],[],2014-12-15T12:53:47.695000Z,2014-12-20T20:58:18.468000Z,https://swapi.py4e.com/api/planets/29/
Socorro,20,326,0,arid,1 standard,"deserts, mountains",unknown,300000000,['https://swapi.py4e.com/api/people/25/'],[],2014-12-15T12:56:31.121000Z,2014-12-20T20:58:18.469000Z,https://swapi.py4e.com/api/planets/30/
Mon Cala,21,398,11030,temperate,1,"oceans, reefs, islands",100,27000000000,['https://swapi.py4e.com/api/people/27/'],[],2014-12-18T11:07:01.792000Z,2014-12-20T20:58:18.471000Z,https://swapi.py4e.com/api/planets/31/
Chandrila,20,368,13500,temperate,1,"plains, forests",40,1200000000,['https://swapi.py4e.com/api/people/28/'],[],2014-12-18T11:11:51.872000Z,2014-12-20T20:58:18.472000Z,https://swapi.py4e.com/api/planets/32/
Sullust,20,263,12780,superheated,1,"mountains, volcanoes, rocky deserts",5,18500000000,['https://swapi.py4e.com/api/people/31/'],[],2014-12-18T11:25:40.243000Z,2014-12-20T20:58:18.474000Z,https://swapi.py4e.com/api/planets/33/
Toydaria,21,184,7900,temperate,1,"swamps, lakes",unknown,11000000,['https://swapi.py4e.com/api/people/40/'],[],2014-12-19T17:47:54.403000Z,2014-12-20T20:58:18.476000Z,https://swapi.py4e.com/api/planets/34/
Malastare,26,201,18880,"arid, temperate, tropical",1.56,"swamps, deserts, jungles, mountains",unknown,2000000000,['https://swapi.py4e.com/api/people/41/'],[],2014-12-19T17:52:13.106000Z,2014-12-20T20:58:18.478000Z,https://swapi.py4e.com/api/planets/35/
Dathomir,24,491,10480,temperate,0.9,"forests, deserts, savannas",unknown,5200,['https://swapi.py4e.com/api/people/44/'],[],2014-12-19T18:00:40.142000Z,2014-12-20T20:58:18.480000Z,https://swapi.py4e.com/api/planets/36/
Ryloth,30,305,10600,"temperate, arid, subartic",1,"mountains, valleys, deserts, tundra",5,1500000000,"['https://swapi.py4e.com/api/people/45/', 'https://swapi.py4e.com/api/people/46/']",[],2014-12-20T09:46:25.740000Z,2014-12-20T20:58:18.481000Z,https://swapi.py4e.com/api/planets/37/
Aleen Minor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['https://swapi.py4e.com/api/people/47/'],[],2014-12-20T09:52:23.452000Z,2014-12-20T20:58:18.483000Z,https://swapi.py4e.com/api/planets/38/
Vulpter,22,391,14900,"temperate, artic",1,"urban, barren",unknown,421000000,['https://swapi.py4e.com/api/people/48/'],[],2014-12-20T09:56:58.874000Z,2014-12-20T20:58:18.485000Z,https://swapi.py4e.com/api/planets/39/
Troiken,unknown,unknown,unknown,unknown,unknown,"desert, tundra, rainforests, mountains",unknown,unknown,['https://swapi.py4e.com/api/people/49/'],[],2014-12-20T10:01:37.395000Z,2014-12-20T20:58:18.487000Z,https://swapi.py4e.com/api/planets/40/
Tund,48,1770,12190,unknown,unknown,"barren, ash",unknown,0,['https://swapi.py4e.com/api/people/50/'],[],2014-12-20T10:07:29.578000Z,2014-12-20T20:58:18.489000Z,https://swapi.py4e.com/api/planets/41/
Haruun Kal,25,383,10120,temperate,0.98,"toxic cloudsea, plateaus, volcanoes",unknown,705300,['https://swapi.py4e.com/api/people/51/'],[],2014-12-20T10:12:28.980000Z,2014-12-20T20:58:18.491000Z,https://swapi.py4e.com/api/planets/42/
Cerea,27,386,unknown,temperate,1,verdant,20,450000000,['https://swapi.py4e.com/api/people/52/'],[],2014-12-20T10:14:48.178000Z,2014-12-20T20:58:18.493000Z,https://swapi.py4e.com/api/planets/43/
Glee Anselm,33,206,15600,"tropical, temperate",1,"lakes, islands, swamps, seas",80,500000000,['https://swapi.py4e.com/api/people/53/'],[],2014-12-20T10:18:26.110000Z,2014-12-20T20:58:18.495000Z,https://swapi.py4e.com/api/planets/44/
Iridonia,29,413,unknown,unknown,unknown,"rocky canyons, acid pools",unknown,unknown,['https://swapi.py4e.com/api/people/54/'],[],2014-12-20T10:26:05.788000Z,2014-12-20T20:58:18.497000Z,https://swapi.py4e.com/api/planets/45/
Tholoth,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],2014-12-20T10:28:31.117000Z,2014-12-20T20:58:18.498000Z,https://swapi.py4e.com/api/planets/46/
Iktotch,22,481,unknown,"arid, rocky, windy",1,rocky,unknown,unknown,['https://swapi.py4e.com/api/people/56/'],[],2014-12-20T10:31:32.413000Z,2014-12-20T20:58:18.500000Z,https://swapi.py4e.com/api/planets/47/
Quermia,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['https://swapi.py4e.com/api/people/57/'],[],2014-12-20T10:34:08.249000Z,2014-12-20T20:58:18.502000Z,https://swapi.py4e.com/api/planets/48/
Dorin,22,409,13400,temperate,1,unknown,unknown,unknown,['https://swapi.py4e.com/api/people/58/'],[],2014-12-20T10:48:36.141000Z,2014-12-20T20:58:18.504000Z,https://swapi.py4e.com/api/planets/49/
Champala,27,318,unknown,temperate,1,"oceans, rainforests, plateaus",unknown,3500000000,['https://swapi.py4e.com/api/people/59/'],[],2014-12-20T10:52:51.524000Z,2014-12-20T20:58:18.506000Z,https://swapi.py4e.com/api/planets/50/
