name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,films,species,vehicles,starships,created,edited,url,species_count,vehicles_count,starships_count
greedo,173,74,,green,black,44bby,male,https://swapi.py4e.com/api/planets/23/,https://swapi.py4e.com/api/films/1/,https://swapi.py4e.com/api/species/4/,,,2014-12-10t17:03:30.334000z,2014-12-20t21:17:50.336000z,https://swapi.py4e.com/api/people/15/,1,0,0
jabba desilijic tiure,175,"1,358",,"green-tan, brown",orange,600bby,hermaphrodite,https://swapi.py4e.com/api/planets/24/,"https://swapi.py4e.com/api/films/1/, https://swapi.py4e.com/api/films/3/, https://swapi.py4e.com/api/films/4/",https://swapi.py4e.com/api/species/5/,,,2014-12-10t17:11:31.638000z,2014-12-20t21:17:50.338000z,https://swapi.py4e.com/api/people/16/,1,0,0
wedge antilles,170,77,brown,fair,hazel,21bby,male,https://swapi.py4e.com/api/planets/22/,"https://swapi.py4e.com/api/films/1/, https://swapi.py4e.com/api/films/2/, https://swapi.py4e.com/api/films/3/",https://swapi.py4e.com/api/species/1/,https://swapi.py4e.com/api/vehicles/14/,https://swapi.py4e.com/api/starships/12/,2014-12-12t11:08:06.469000z,2014-12-20t21:17:50.341000z,https://swapi.py4e.com/api/people/18/,1,1,1
jek tono porkins,180,110,brown,fair,blue,unknown,male,https://swapi.py4e.com/api/planets/26/,https://swapi.py4e.com/api/films/1/,,,https://swapi.py4e.com/api/starships/12/,2014-12-12t11:16:56.569000z,2014-12-20t21:17:50.343000z,https://swapi.py4e.com/api/people/19/,0,0,1
yoda,66,17,white,green,brown,896bby,male,https://swapi.py4e.com/api/planets/28/,"https://swapi.py4e.com/api/films/2/, https://swapi.py4e.com/api/films/3/, https://swapi.py4e.com/api/films/4/, https://swapi.py4e.com/api/films/5/, https://swapi.py4e.com/api/films/6/",https://swapi.py4e.com/api/species/6/,,,2014-12-15t12:26:01.042000z,2014-12-20t21:17:50.345000z,https://swapi.py4e.com/api/people/20/,1,0,0
palpatine,170,75,grey,pale,yellow,82bby,male,https://swapi.py4e.com/api/planets/8/,"https://swapi.py4e.com/api/films/2/, https://swapi.py4e.com/api/films/3/, https://swapi.py4e.com/api/films/4/, https://swapi.py4e.com/api/films/5/, https://swapi.py4e.com/api/films/6/",https://swapi.py4e.com/api/species/1/,,,2014-12-15t12:48:05.971000z,2014-12-20t21:17:50.347000z,https://swapi.py4e.com/api/people/21/,1,0,0
boba fett,183,78.2,black,fair,brown,31.5bby,male,https://swapi.py4e.com/api/planets/10/,"https://swapi.py4e.com/api/films/2/, https://swapi.py4e.com/api/films/3/, https://swapi.py4e.com/api/films/5/",https://swapi.py4e.com/api/species/1/,,https://swapi.py4e.com/api/starships/21/,2014-12-15t12:49:32.457000z,2014-12-20t21:17:50.349000z,https://swapi.py4e.com/api/people/22/,1,0,1
ig-88,200,140,none,metal,red,15bby,none,https://swapi.py4e.com/api/planets/28/,https://swapi.py4e.com/api/films/2/,https://swapi.py4e.com/api/species/2/,,,2014-12-15t12:51:10.076000z,2014-12-20t21:17:50.351000z,https://swapi.py4e.com/api/people/23/,1,0,0
bossk,190,113,none,green,red,53bby,male,https://swapi.py4e.com/api/planets/29/,https://swapi.py4e.com/api/films/2/,https://swapi.py4e.com/api/species/7/,,,2014-12-15t12:53:49.297000z,2014-12-20t21:17:50.355000z,https://swapi.py4e.com/api/people/24/,1,0,0
lando calrissian,177,79,black,dark,brown,31bby,male,https://swapi.py4e.com/api/planets/30/,"https://swapi.py4e.com/api/films/2/, https://swapi.py4e.com/api/films/3/",https://swapi.py4e.com/api/species/1/,,https://swapi.py4e.com/api/starships/10/,2014-12-15t12:56:32.683000z,2014-12-20t21:17:50.357000z,https://swapi.py4e.com/api/people/25/,1,0,1
lobot,175,79,none,light,blue,37bby,male,https://swapi.py4e.com/api/planets/6/,https://swapi.py4e.com/api/films/2/,https://swapi.py4e.com/api/species/1/,,,2014-12-15t13:01:57.178000z,2014-12-20t21:17:50.359000z,https://swapi.py4e.com/api/people/26/,1,0,0
ackbar,180,83,none,brown mottle,orange,41bby,male,https://swapi.py4e.com/api/planets/31/,"https://swapi.py4e.com/api/films/3/, https://swapi.py4e.com/api/films/7/",https://swapi.py4e.com/api/species/8/,,,2014-12-18t11:07:50.584000z,2014-12-20t21:17:50.362000z,https://swapi.py4e.com/api/people/27/,1,0,0
mon mothma,150,unknown,auburn,fair,blue,48bby,female,https://swapi.py4e.com/api/planets/32/,https://swapi.py4e.com/api/films/3/,https://swapi.py4e.com/api/species/1/,,,2014-12-18t11:12:38.895000z,2014-12-20t21:17:50.364000z,https://swapi.py4e.com/api/people/28/,1,0,0
arvel crynyd,unknown,unknown,brown,fair,brown,unknown,male,https://swapi.py4e.com/api/planets/28/,https://swapi.py4e.com/api/films/3/,https://swapi.py4e.com/api/species/1/,,https://swapi.py4e.com/api/starships/28/,2014-12-18t11:16:33.020000z,2014-12-20t21:17:50.367000z,https://swapi.py4e.com/api/people/29/,1,0,1
wicket systri warrick,88,20,brown,brown,brown,8bby,male,https://swapi.py4e.com/api/planets/7/,https://swapi.py4e.com/api/films/3/,https://swapi.py4e.com/api/species/9/,,,2014-12-18t11:21:58.954000z,2014-12-20t21:17:50.369000z,https://swapi.py4e.com/api/people/30/,1,0,0
nien nunb,160,68,none,grey,black,unknown,male,https://swapi.py4e.com/api/planets/33/,https://swapi.py4e.com/api/films/3/,https://swapi.py4e.com/api/species/10/,,https://swapi.py4e.com/api/starships/10/,2014-12-18t11:26:18.541000z,2014-12-20t21:17:50.371000z,https://swapi.py4e.com/api/people/31/,1,0,1
qui-gon jinn,193,89,brown,fair,blue,92bby,male,https://swapi.py4e.com/api/planets/28/,https://swapi.py4e.com/api/films/4/,https://swapi.py4e.com/api/species/1/,https://swapi.py4e.com/api/vehicles/38/,,2014-12-19t16:54:53.618000z,2014-12-20t21:17:50.375000z,https://swapi.py4e.com/api/people/32/,1,1,0
nute gunray,191,90,none,mottled green,red,unknown,male,https://swapi.py4e.com/api/planets/18/,"https://swapi.py4e.com/api/films/4/, https://swapi.py4e.com/api/films/5/, https://swapi.py4e.com/api/films/6/",https://swapi.py4e.com/api/species/11/,,,2014-12-19t17:05:57.357000z,2014-12-20t21:17:50.377000z,https://swapi.py4e.com/api/people/33/,1,0,0
finis valorum,170,unknown,blond,fair,blue,91bby,male,https://swapi.py4e.com/api/planets/9/,https://swapi.py4e.com/api/films/4/,https://swapi.py4e.com/api/species/1/,,,2014-12-19t17:21:45.915000z,2014-12-20t21:17:50.379000z,https://swapi.py4e.com/api/people/34/,1,0,0
padm amidala,185,45,brown,light,brown,46bby,female,https://swapi.py4e.com/api/planets/8/,"https://swapi.py4e.com/api/films/4/, https://swapi.py4e.com/api/films/5/, https://swapi.py4e.com/api/films/6/",https://swapi.py4e.com/api/species/1/,,"https://swapi.py4e.com/api/starships/39/, https://swapi.py4e.com/api/starships/49/, https://swapi.py4e.com/api/starships/64/",2014-12-19t17:28:26.926000z,2014-12-20t21:17:50.381000z,https://swapi.py4e.com/api/people/35/,1,0,3
jar jar binks,196,66,none,orange,orange,52bby,male,https://swapi.py4e.com/api/planets/8/,"https://swapi.py4e.com/api/films/4/, https://swapi.py4e.com/api/films/5/",https://swapi.py4e.com/api/species/12/,,,2014-12-19t17:29:32.489000z,2014-12-20t21:17:50.383000z,https://swapi.py4e.com/api/people/36/,1,0,0
roos tarpals,224,82,none,grey,orange,unknown,male,https://swapi.py4e.com/api/planets/8/,https://swapi.py4e.com/api/films/4/,https://swapi.py4e.com/api/species/12/,,,2014-12-19t17:32:56.741000z,2014-12-20t21:17:50.385000z,https://swapi.py4e.com/api/people/37/,1,0,0
rugor nass,206,unknown,none,green,orange,unknown,male,https://swapi.py4e.com/api/planets/8/,https://swapi.py4e.com/api/films/4/,https://swapi.py4e.com/api/species/12/,,,2014-12-19t17:33:38.909000z,2014-12-20t21:17:50.388000z,https://swapi.py4e.com/api/people/38/,1,0,0
ric oli,183,unknown,brown,fair,blue,unknown,male,https://swapi.py4e.com/api/planets/8/,https://swapi.py4e.com/api/films/4/,https://swapi.py4e.com/api/species/1/,,https://swapi.py4e.com/api/starships/40/,2014-12-19t17:45:01.522000z,2014-12-20t21:17:50.392000z,https://swapi.py4e.com/api/people/39/,1,0,1
watto,137,unknown,black,"blue, grey",yellow,unknown,male,https://swapi.py4e.com/api/planets/34/,"https://swapi.py4e.com/api/films/4/, https://swapi.py4e.com/api/films/5/",https://swapi.py4e.com/api/species/13/,,,2014-12-19t17:48:54.647000z,2014-12-20t21:17:50.395000z,https://swapi.py4e.com/api/people/40/,1,0,0
sebulba,112,40,none,"grey, red",orange,unknown,male,https://swapi.py4e.com/api/planets/35/,https://swapi.py4e.com/api/films/4/,https://swapi.py4e.com/api/species/14/,,,2014-12-19t17:53:02.586000z,2014-12-20t21:17:50.397000z,https://swapi.py4e.com/api/people/41/,1,0,0
quarsh panaka,183,unknown,black,dark,brown,62bby,male,https://swapi.py4e.com/api/planets/8/,https://swapi.py4e.com/api/films/4/,https://swapi.py4e.com/api/species/1/,,,2014-12-19t17:55:43.348000z,2014-12-20t21:17:50.399000z,https://swapi.py4e.com/api/people/42/,1,0,0
shmi skywalker,163,unknown,black,fair,brown,72bby,female,https://swapi.py4e.com/api/planets/1/,"https://swapi.py4e.com/api/films/4/, https://swapi.py4e.com/api/films/5/",https://swapi.py4e.com/api/species/1/,,,2014-12-19t17:57:41.191000z,2014-12-20t21:17:50.401000z,https://swapi.py4e.com/api/people/43/,1,0,0
darth maul,175,80,none,red,yellow,54bby,male,https://swapi.py4e.com/api/planets/36/,https://swapi.py4e.com/api/films/4/,https://swapi.py4e.com/api/species/22/,https://swapi.py4e.com/api/vehicles/42/,https://swapi.py4e.com/api/starships/41/,2014-12-19t18:00:41.929000z,2014-12-20t21:17:50.403000z,https://swapi.py4e.com/api/people/44/,1,1,1
bib fortuna,180,unknown,none,pale,pink,unknown,male,https://swapi.py4e.com/api/planets/37/,https://swapi.py4e.com/api/films/3/,https://swapi.py4e.com/api/species/15/,,,2014-12-20t09:47:02.512000z,2014-12-20t21:17:50.407000z,https://swapi.py4e.com/api/people/45/,1,0,0
ayla secura,178,55,none,blue,hazel,48bby,female,https://swapi.py4e.com/api/planets/37/,"https://swapi.py4e.com/api/films/4/, https://swapi.py4e.com/api/films/5/, https://swapi.py4e.com/api/films/6/",https://swapi.py4e.com/api/species/15/,,,2014-12-20t09:48:01.172000z,2014-12-20t21:17:50.409000z,https://swapi.py4e.com/api/people/46/,1,0,0
ratts tyerel,79,15,none,"grey, blue",unknown,unknown,male,https://swapi.py4e.com/api/planets/38/,https://swapi.py4e.com/api/films/4/,https://swapi.py4e.com/api/species/16/,,,2014-12-20t09:53:15.086000z,2014-12-20t21:17:50.410000z,https://swapi.py4e.com/api/people/47/,1,0,0
dud bolt,94,45,none,"blue, grey",yellow,unknown,male,https://swapi.py4e.com/api/planets/39/,https://swapi.py4e.com/api/films/4/,https://swapi.py4e.com/api/species/17/,,,2014-12-20t09:57:31.858000z,2014-12-20t21:17:50.414000z,https://swapi.py4e.com/api/people/48/,1,0,0
gasgano,122,unknown,none,"white, blue",black,unknown,male,https://swapi.py4e.com/api/planets/40/,https://swapi.py4e.com/api/films/4/,https://swapi.py4e.com/api/species/18/,,,2014-12-20t10:02:12.223000z,2014-12-20t21:17:50.416000z,https://swapi.py4e.com/api/people/49/,1,0,0
ben quadinaros,163,65,none,"grey, green, yellow",orange,unknown,male,https://swapi.py4e.com/api/planets/41/,https://swapi.py4e.com/api/films/4/,https://swapi.py4e.com/api/species/19/,,,2014-12-20t10:08:33.777000z,2014-12-20t21:17:50.417000z,https://swapi.py4e.com/api/people/50/,1,0,0
mace windu,188,84,none,dark,brown,72bby,male,https://swapi.py4e.com/api/planets/42/,"https://swapi.py4e.com/api/films/4/, https://swapi.py4e.com/api/films/5/, https://swapi.py4e.com/api/films/6/",https://swapi.py4e.com/api/species/1/,,,2014-12-20t10:12:30.846000z,2014-12-20t21:17:50.420000z,https://swapi.py4e.com/api/people/51/,1,0,0
